sentence;food;service;price;place;other
duduk di saung dekat kolam ikan sangat menyenangkan   , apalagi kalau anda bepergian dengan anak-anak  . ;-;-;-;positive;-
tempatnya bagus   , 2 lantai dengan pilihan meja atau lesehan  . ;-;-;-;positive;-
diiringi musik sunda   , makan udang bakar   , pete goreng dan bandrek panas benar benar mantap  . ;positive;-;-;-;-
ngacau  . ;-;-;-;-;-
tempatnya memang agak nyempil .;-;-;-;negative;-
tempatnya semua jadi mudah jika anda pengguna smartphone  . ;-;-;-;positive;-
didalamnya banyak diberikan hiasan-hiasan berseni yang menurut saya nyaman untuk dilihat  . ;-;-;-;positive;-
rp  . 45000 porsi besar  . ;positive;-;-;-;-
tempatnya dan peralatan makannya dibuat sedemikian rupa sehingga membuat kesan segar dari the oven  . ;-;-;-;positive;-
terlihat bahwa mereka menyiapkan makanan dengan baik  . ;positive;-;-;-;-
buktinya tahu dan bala-bala masih panas ketika dihidangkan  . ;positive;-;-;-;-
cocoklah buat makan siang  . ;positive;-;-;-;-
walau tempatnya gedongan .;-;-;-;positive;-
tetapi harga bersahabat mengapa  . ;-;-;positive;-;-
sesampainya disana   , saya sangat terkesan dengan atmosfer dari restoran ini  . ;-;-;-;positive;-
arsitektur bangunan   , ornamen-ornamen   , dan hiasan-hiasan dalam dekorasinya   , membangun suatu perasaan yang sangat nyaman dan damai  . ;-;-;-;positive;-
ikan laut bakarnya  ( baronang  + kerapu  ) sangat gurih dan enak   , dan sangat segar  . ;positive;-;-;-;-
kesegaran ini lah kunci utama dari rasa sebuah masakan seafood  . ;positive;-;-;-;-
bumbunya juga sangat menyerap  . ;positive;-;-;-;-
kenikmatan tersebut ditemani dengan nikmatnya cah kangkung yang kami pesan   , yang ternyata disajikan dalam hot pelate   , sehingga memberikan sensasi yang berbeda  . ;positive;-;-;-;-
  , luar biasa pokoknya rasanya  . ;positive;-;-;-;-
kepitingnya jumbo banget   , bumbunya juga sangat meresap   , serta telurnya   , juga berlimpah  . ;positive;-;-;-;-
pokoknya bener-bener the best crab ever  !  ! akhir kata   , raja rasa ini memang benar-benar rajanya masakan seafood  . ;positive;-;-;-;-
enak   , gurih   , segar   , nikmat   , dan mantab  !  ! ;-;-;-;-;-
gurame bakar jimbaran rasanya enak banget  . ;positive;-;-;-;-
apalagi ditambah tumis kangkungnya   , wow nikmat banget  . ;positive;-;-;-;-
pokoke enak dan top markotop raja rasa bandung  :  )  . ;positive;-;-;-;-
tumis kangkung   , sup kepiting   , kepiting lada hitam dan gado enak banget dan harganya cukup terjangkau  :  )  . ;positive;-;positive;-;-
suasana restoran   , parade sushi yang sangat menggiurkan menjadi daya tarik tersendiri selain rasa sushi yang enak  . ;positive;-;-;positive;-
sushinya enak  :  ) nasi currynya juga enak  :  ) ramennya juga enak  . ;positive;-;-;-;-
kalau mau duduknya di bagian bar lebih baik hari sabtu atau minggu karena banyak banget makanannya di meja bar tinggal ambil-ambil;positive;-;-;-;-
enak banget  . ;-;-;-;-;-
dan kami suka layanan o - cha yang gratis dan refillable  . ;-;positive;-;-;-
menu ala carte juga sangat banyak pilihan  . ;positive;-;-;-;-
kesukaan keluarga kami adalah salmon mentaiyaki  : grilled salmon dengan topping saus mentai yang gurih dan creamy  . ;positive;-;-;-;-
suasana restoran yang sejuk dan temaram juga membuat restoran ini menjadi sangat enjoyable  . ;-;-;-;positive;-
tempatnya nyaman dan bersih   , pelayan well training ramah dan sigap   , kualitasnya oke   , pokonya best sudah  ! ;positive;positive;-;positive;-
saya mencoba udon sushi tei   , dan ternyata porsinya luar biasa jumbo  . ;positive;-;-;-;-
tetapi rasanya enak dan patut dicoba  . ;positive;-;-;-;-
sushi cukup oke dan menunya cukup bervariatif  . ;positive;-;-;-;-
menu sushi kesukaan crunchy lobster roll sama inari sushi  . ;positive;-;-;-;-
pokoknya untuk yang lagi ingin makan sushi cukup reccomended lah makan di sini  . ;positive;-;-;-;-
restoran jepang kesukaan saya dan teman-teman saya di bandung  . ;-;-;-;positive;-
restoran jepang ini mempunyai banyak menu hidangan   , hampir semua saya suka   .;positive;-;-;-;-
tetapi yang paling saya kesukaan adalah salmon crispy roll   , rasanya enak banget  . ;positive;-;-;-;-
kalau datang pada saat weekend ke restoran ini   , sebaiknya datang sebelum jam makan malam lebih awal   , karena sering penuh dan harus daftar tunggu  . ;-;-;-;-;-
pmandangan nyake kota bandung indah sekali   , apa lagi di malam hari   , dengan warna lampu yang kedap kedip  . ;-;-;-;positive;-
makanan dan minuman sih okok  . ;negative;-;-;-;-
tidak ada yang istimewa  . ;-;-;-;-;-
pertama kali mendengar restoran the peak terasa seperti restoran yang mewah enak elegan dan sebagainya  . ;-;-;-;positive;-
jalan akses yang sangat jauh juga jalan masuk yang rawan pada malam hari  . ;-;-;-;negative;-
saya bersama keluarga ingin mencoba steik karena seperti biasa restoran seperti ini seharusnya enak di bidang masakan ini namun sesuai hasil steik yang saya minta welldone datang dengan bentuk daging yang sangat keras dan masih tetap ada berapa bagian yang masih mentah   , juga halnya dengan chicken steik yang saya pesan masih bau amis  . ;negative;-;-;-;-
sebenernya kami ke the peak ini cuma karena penasaran karena pemandangannya bagus  . ;-;-;-;positive;-
menurut kami biasa saja seperti restoran atau cafe di tempat lainnya .;-;-;-;negative;-
tetapi katanya mereka punya pemandangan yang oke  . ;-;-;-;positive;-
dengan kualitas makanan yang biasa saja dan agak over price  ( menurut kami  )   , kami tidak menyarankan bagi yang lapar berat makan dsini  . ;negative;-;-;-;-
makanan yang disajikan enak dengan harga sesuai dan pelayanannya juga ramah  . ;positive;positive;positive;-;-
sajian sekoteng pas sekali paduan kayu manis dan jahe  . ;positive;-;-;-;-
lokasi agak jauh dari kota bandung dan sekarang ada 2 gerbang pembayaran untuk bisa ke the peak dengan total 5000 rupiah  . ;-;-;-;negative;-
makanan cukup enak .;positive;-;-;-;-
walaupun harga mahal  ( 88000 untuk pasta dan makanan standar lainnya   , 150 - 300000 untuk steak  )  . ;-;-;negative;-;-
pemandangan cukup bagus   .;-;-;-;positive;-
pemandangan bila di indoor   , pemandangan akan terhalang kaca  . ;-;-;-;negative;-
pelayanan sangat baik  . ;-;positive;-;-;-
tempat ini benar benar sangat bagus buat pasangan yang ingin makan malam atau fine dinning  . ;-;-;-;positive;-
makanan disini biasa saja   .;negative;-;-;-;-
namun yang menjadi paling kesukaan merupakan suasana dan pemandangannya yang cukup bagus  . ;-;-;-;positive;-
pergi ke sini pas sudah malam berangkat sekitar jam an   , agak serem juga jalannya karena sepi dan gelap  . ;-;-;-;negative;-
karena maren perginya hari minggu   , open till 1 - 1 private message saja   , dan msuk sepi restonya  . ;-;-;-;positive;-
untuk suasana romantis sih   , enak   .;-;-;-;positive;-
suasana lebih ke fine dining sepertinya  . ;-;-;-;positive;-
kemudian saya memesan nasi goreng the peak  ( kalau tidak salah  )   , standar bangett untuk rasanya  . ;negative;-;-;-;-
selain pemandangan yang menakjubkan dan makanan yang enak   , the peak mempunyai suasana yang romantis  . ;positive;-;-;positive;-
konsep fine romantis dining dengan gazebo dan sofa sangat menyenangkan   , cita rasa makannya agak unik  ( saya pesan steak ala restoran  ) dan minumannya sangat menyegarkan  . ;positive;-;-;positive;-
kami berkunjung saat malam hari dan sebaiknya membawa pakaian hangat karena sangat dingin .;-;-;-;-;-
rata-rata restoran di dago menang pemandangan tapi ini pizza dan makanannya enak-enak kalau pas dapat pemandangan banget oke juga .;positive;-;-;positive;-
tetapi kalau di bawah paling live music aja kalau wiken pasti antri banget  . ;-;negative;-;-;-
berbuka puasa di restoran ini pada minggu lepas   , tempat di atas bukit   , sangat sejuk pada waktu malam  . ;-;-;-;positive;-
tempat makan yang sangat romantik dan cantik  . ;-;-;-;positive;-
authentic indonesian style makanan  . ;positive;-;-;-;-
tempat yang sesuai untuk makan sambil menikmati pemandangan yang cantik  . ;-;-;-;positive;-
rasa makanan biasa saja dan pemandangan rata-rata  . ;negative;-;-;negative;-
live musiknya oke  . ;-;-;-;positive;-
lokasi di dago atas sebelum pintu masuk ke resort dago pakar   , ini tempat kesukaan yang sering kami datangi   , sejak cafe ini dibuka beberapa tahun lalu  . ;-;-;-;positive;-
udara dingin   , pemandangan indah apalagi kalau malam hari kita bisa melihat kota bandung dengan titik-titik lampu   , suasananya romantis  . ;-;-;-;positive;-
makanannya lumayan enak .;positive;-;-;-;-
makanannya sekarang kalau mau datang harus reservasi terlebih dahulu   , karena selalu penuh apalagi kalau hari libur  . ;negative;-;-;-;-
restoran ini letaknya tinggi di atas bukit dago   , tersedia saung diluar restoran yang romantis dengan pemandangan kota bandung dan kerlap kerlip lampu kota  . ;-;-;-;positive;-
menu makanan bervariasi ada indonesia dan western  .;positive;-;-;-;-
tetapi rasanya standar  . ;negative;-;-;-;-
harganya juga overated karena terlalu mahal  . ;-;-;negative;-;-
suasana di cafe ini santai dan cuaca dingin kota bandung menjadi salah satu daya tariknya  . ;-;-;-;positive;-
the stone cafe ini memiliki pemandangan indah dan makanan yang enak  . ;positive;-;-;positive;-
tempat bagus dan ditata dengan bentuk-bentuk saung yang nyaman   , di mana kita sembari makan merasakan suasana yang santai   , dan juga bisa menikmati nuansa bandung dari atas dengan kerlap kerlip lampunya  . ;-;-;-;positive;-
cocok untuk makan berdua dengan pasangan atau bersama keluarga  . ;positive;-;-;-;-
makanannya juga cukup enak dan banyak pilihannya   , dari mulai steak   , nasi timbel atau nasi goreng  . ;positive;-;-;-;-
suasana nyaman di daerah dago atas yang berhawa sejuk  . ;-;-;-;positive;-
pelayanan ramah  . ;-;positive;-;-;-
harga termasuk mahal   , saat itu memesan nasi raos dengan harga sekitar rpjs  . 000  . ;-;-;negative;-;-
untuk rasa cukup enak terutama ayam kampungnya mereka sangat pintar mengolahnya sehingga empuk dan enak  . ;positive;-;-;-;-
sambal kurang  . ;negative;-;-;-;-
secara keseluruhan puas makan malam disini  . ;-;-;-;-;-
pelayanannya oke banget   , saya kesana bersama rombongan dan sudah booking jauh-jauh hari   , begitu sampai sana makanan sudah siap jadi kami tidak perlu menunggu lama  . ;-;positive;-;-;-
chicken gordon blue disini enak banget   , extra cheese berasa banget   ,   ,   , m   , nyam nyamkalau ke bandung lagi   , mau mampir lagi kesini  . ;positive;-;-;-;-
makan malam kali ini kurang puas  . ;negative;-;-;-;-
lokasi di dago dengan pemandangan bandung   , datanglah malam karena lampu kota akan terlihat   , makanan enak steak dan wine menu wajib disini   , ambil spot diluar karena udara dingin dan sejuk  . ;positive;-;-;positive;-
harga makanannya mahal .;-;-;negative;-;-
harga cukup sepadan dengan kualitas dan suasana restorannya  . ;-;-;negative;-;-
pemandangannya indah dan ada mainan anak kecil juga  . ;-;-;-;positive;-
restoran ini di puncak ketinggian dago   , pemandangan indah melihat kota bandung  . ;-;-;-;positive;-
kalau weekend dan hari libur sangat ramai pengunjung  . ;-;-;-;-;-
suasana makan malam di outdoor sangat menyenangkan  . ;-;-;-;positive;-
makan yang menarik banyak menu dan beragam rasannya lumayan enak keluarga saya juga senang makan di sana  . ;positive;-;-;-;-
pemandangan restoran ini bagus banget  . ;-;-;-;positive;-
suasana restoran di sore hari terasa romantis   , cantik banget  . ;-;-;-;positive;-
cocok untuk pasangan   , tetapi oke juga jika bersama keluarga  . ;-;-;-;-;-
banyak pilihan menu  . ;positive;-;-;-;-
rasanya standar  . ;negative;-;-;-;-
harga cukup mahal  . ;-;-;negative;-;-
kuliner bandung sangat fantastis  . ;positive;-;-;-;-
saya sangat menyukai wisata kuliner d bandung  . ;positive;-;-;-;-
tempat sangat strategis harga harganya murah .;-;-;positive;positive;-
tetapi rasanya fantastis  . ;positive;-;-;-;-
kesininya memang agak susah dan muter-muter  . ;-;-;-;-;-
tempatnya sungguh aduhai dan memanjakan mata  . ;-;-;-;positive;-
selain gede  . ;-;-;-;-;-
toppingnya juga banyak bingits  . ;positive;-;-;-;-
tobb b-g-t dahh  . ;-;-;-;-;-
mengunjungi the valley   , senin malam udaranya sejuk sekali   , kalau kesini malam-malam harus bawa jaket kalau tidak mau masuk angin  . ;-;-;-;positive;-
pemandangannya bagus   , harga makanan yang mahal tidak sebanding dengan rasanya  . ;-;-;negative;positive;-
rasa makanannya biasa saja   , tidak ada yang istimewa  . ;negative;-;-;-;-
tempat makannya agak gelap   , jadi tidak bisa terlihat jelas makanan yang disajikan  . ;-;-;-;negative;-
dianjurkan datang pada malam hari dan nikmati indahnya cahaya lampu-lampu kota bandung sambil menikmati aneka jenis menu yang ditawarkan  . ;positive;-;-;-;-
makan malam bersama kekasih terasa sangat romantis disini  . ;positive;-;-;-;-
pelayan restoran cukup ramah  . ;-;positive;-;-;-
disini termasuknya mahal  . ;-;-;-;-;-
mantab abiis  . ;-;-;-;-;-
harga untuk kelas menengah .;-;-;negative;-;-
kalau harga ya termasuk mahal .;-;-;negative;-;-
harga yang cukup bersahabat bagi anda yg mau dinner bersama pasangan maupun rekan bisnis .;-;-;positive;-;-
restonya ok , makanannya banyak , pegawainya ramah-ramah .;positive;positive;-;positive;-
bellevue restaurant dengan pelayanan yang luar biasa dan menyajikan makanan ala perancis dan italia .;-;positive;-;-;-
pelayanan sebelum kami datang sangat sempurna .;-;positive;-;-;-
pelayanan nya ramah .;-;positive;-;-;-
pelayanan baik dan penyajian cepat .;-;positive;-;-;-
resto ini aksesnya cukup mudah dengan layanan cukup baik .;-;positive;-;positive;-
pelayanannya juga cepat .;-;positive;-;-;-
semuanya baik2 saja , dari rasa makanan hingga kecepatan pelayanan .;-;positive;-;-;-
untuk harga worth it dengan harganya dan dagingnya yang empuk .;positive;-;positive;-;-
harganya murah 60k dan terlebih lagi rasa serta porsinya pas .;positive;-;positive;-;-
harganya reasonable .;-;-;positive;-;-
sop buntutnya empuk dan terasa rempahnya serta harganya terjangkau .;positive;-;positive;-;-
varian menunya lumayan lengkap dengan harga yang sebanding dengan apa yang disajikan .;positive;-;positive;-;-
harga untuk sop buntut lumayan murah @ 65000 / porsi diluar nasi .;-;-;positive;-;-
harga cukup memadai , rasa nya sedap dan mantap .;positive;-;positive;-;-
harga bersaing .;-;-;positive;-;-
porsinya cukup banyak sehingga menurut saya sepadan dengan harganya .;positive;-;positive;-;-
mengenai harga cukup sesuai dengan kualitas yang disajikan sekitar 40 sd 70 rb .;-;-;positive;-;-
harga yang ditawarkan cukup kompetitif untuk ukuran sop buntut dengan rasa terbaik .;positive;-;positive;-;-
harga yang cukup terjangkau .;-;-;positive;-;-
harga yang ditawarkan berada di kelas menengah ke atas .;-;-;positive;-;-
harga yang cukup terjangkau kalian bisa dapetin sop buntut dengan daging yang empuk .;positive;-;positive;-;-
harganya pun terjangkau , bahkan bisa dikatakan murah jika dibandingkan dengan rasanya yang sangat menggugah selera .;positive;-;positive;-;-
porsi daging cukup generous dan harga cukup murah .;positive;-;positive;-;-
harganya terbilang murah .;-;-;positive;-;-
harga tidak menipu utk yg satu ini .;-;-;positive;-;-
harga agak mahal .;-;-;positive;-;-
harganya masuk akal untuk porsinya yang cukup banyak .;-;-;positive;-;-
untuk harga standar ( saya tampilkan di foto untuk menu dan harganya ) .;-;-;positive;-;-
harganya sedang .;-;-;positive;-;-
harga terjangkau .;-;-;positive;-;-
rasa makanan enak dan harga murah .;positive;-;positive;-;-
untuk harga tidak terlalu mahal dengan rasa yang cukup enak .;positive;-;positive;-;-
enak rasanya dengan harga yang cukup murah .;positive;-;positive;-;-
pilihan menu banyak , harga nya ok .;positive;-;positive;-;-
pelayanan dari karyawannya yang cukup baik .;-;positive;-;-;-
pelayanan cepat , ramah .;-;positive;-;-;-
makanannya enak terus pelayanannya mantap .;positive;positive;-;-;-
masakan yang begitu enak dan pelayanannya yang begitu ramah .;positive;positive;-;-;-
pelayanan yang memuaskan dari tim hilton .;-;positive;-;-;-
terimakasi kepada wisnu atas pelayanan yang ramah , cepat , dan sangat memuaskan dari awal reservasi sampai dinner .;-;positive;-;-;-
pelayanannya juga cepat dan dilayani dengan ramah .;-;positive;-;-;-
pelayan bernama wisnu ramah dan gesit .;-;positive;-;-;-
Itu benar - benar pelayanan yang sangat baik .;-;positive;-;-;-
pelayanan yang sangat baik dari staffnya .;-;positive;-;-;-
harga sepadan dgn rasa dan kenyamanan tempatnya .;-;-;positive;positive;-
harga relatif standar buat restoran berkelas seperti ini .;-;-;negative;-;-
harganya cukup mahal untuk ukuran makanan street food .;-;-;positive;-;-
harganya standar .;-;-;negative;-;-
porsi juga lumayan banyak & harga tidak terlalu mahal .;positive;-;negative;-;-
harga ekonomis mungkin tempat bisa diperbaharui lagi biar bisa lebih bersih dan nyaman .;-;-;positive;-;-
harganya lumayan mahal buat dompet mahasiswa .;-;-;negative;-;-
harganya per porsi Rp . 35.000 an sangat ramah di dompet .;-;-;positive;-;-
harganya juga murah .;-;-;positive;-;-
resto ini menawarkan olahan masakan dari ayam , kambing , dan sapi dengan harga tidak mahal .;-;-;positive;-;-
harga juga terjangkau .;-;-;positive;-;-
untuk harga worth it lah .;-;-;positive;-;-
harganya pun rekomendasi lah dengan rasa .;-;-;positive;-;-
harga makanan dan minumannya pun sesuai lah dengan rasa dan penampilannya .;-;-;positive;-;-
untuk harga relatif terjangkau;-;-;positive;-;-
untuk rasa pasti juara dengan harga yang ditawarkan sangat murah;positive;-;positive;-;-
harga sesuai dengan rasa yang di dapat .;-;-;positive;-;-
harganya juga murah meriah .;-;-;positive;-;-
harga relatif tidak mahal .;-;-;positive;-;-
pelayannya butuh latihan lagi .;-;negative;-;-;-
antri waiting list nya lama;-;negative;-;-;-
harganya ternasuk tinggi buat kantongku sih .;-;-;negative;-;-
harga kompetitive .;-;-;negative;-;-
harga sedikit lebih tinggi dari tempat lain .;-;-;negative;-;-
harganya sekarang lumayan .;-;-;negative;-;-
harga yang tidak bisa dibilang murah .;-;-;negative;-;-
harga agak mahal untuk steak .;-;-;negative;-;-
pelayanan ramah dan membantu .;-;positive;-;-;-
pelayanan juga sopan .;-;positive;-;-;-
atmosphere resort cafe mempunyai pelayanan yang sangat baik;-;positive;-;-;-
untuk pelayanan nya sangat memuaskan .;-;positive;-;-;-
pelayanannya oke banget .;-;positive;-;-;-
pelayanan cepat .;-;positive;-;-;-
service jelek sekali .;-;negative;-;-;-
service ok .;-;positive;-;-;-
servicenya tetap oke .;-;positive;-;-;-
pelayanannya harus ditingkatkan .;-;negative;-;-;-
pelayannya ramah lagi .;-;positive;-;-;-
pelayanan cukup baik .;-;positive;-;-;-
pelayanannya ramah dan profesional .;-;positive;-;-;-
pelayanannya oke .;-;positive;-;-;-
pelayanannya juga bagus .;-;positive;-;-;-
pelayanan yg sangat ramah membuat saya betah .;-;positive;-;-;-
pelayanannya pun cukup ramah .;-;positive;-;-;-
pelayannya ramah .;-;positive;-;-;-
pelayanan sangat baik .;-;positive;-;-;-
pelayanannya sangat bagus .;-;positive;-;-;-
waitersnya juga selalu kasih rekomendasi menu - menu andalan disini .;-;positive;-;-;-
harganya juga ok .;-;-;positive;-;-
harganya sama dengan cafe - cafe pada umumnya dan makanannya pun lumayan enak .;positive;-;negative;-;-
harga relatif terjangkau dan pelayanan sangat baik .;-;positive;positive;-;-
harganya tidak mahal .;-;-;positive;-;-
harganya pun tidak semahal yang saya kira .;-;-;positive;-;-
harganya sesuai dengan porsi makanan yang banyak dan besar .;positive;-;positive;-;-
harga yang lumayan terjangkau .;-;-;positive;-;-
harga makanan relatif mahal .;-;-;negative;-;-
harga juga tidak terlalu mahal .;-;-;positive;-;-
makanan yang beraneka ragam dengan harga terjangkau ada disini .;positive;-;positive;-;-
harga yang sangat terjangkau;-;-;positive;-;-
harganya tidak terlalu mahal .;-;-;positive;-;-
harga cukup terjangkau .;-;-;positive;-;-
pelayanan sangat lambat .;-;negative;-;-;-
pelayanan lumayan cepat .;-;positive;-;-;-
pelayanannya ok layaknya fine dining .;-;positive;-;-;-
suasananya sangat nyaman dengan layanan yang baik .;-;positive;-;positive;-
saya suka dengan suasana dan pelayanan resto ini .;-;positive;-;positive;-
saya senang sih pelayanannya ramah .;-;positive;-;-;-
pelayanan yang ramah dan luar biasa .;-;positive;-;-;-
pelayanan ok .;-;positive;-;-;-
pelayanan sangat ramah , mereka memastikan minuman air putih di gelas saya selalu terisi penuh .;-;positive;-;-;-
pelayanan tetap ramah .;-;positive;-;-;-
pelayanannya mengagumkan .;-;positive;-;-;-
servis pelayannya juga memuaskan .;-;positive;-;-;-
service yang selalu memuaskan;-;positive;-;-;-
harganya terjangkau .;-;-;positive;-;-
harga mahal .;-;-;negative;-;-
untuk harga makanan disana rada mahal sedikit .;-;-;negative;-;-
harga tiket masuk terjangkau .;-;-;positive;-;-
harga makanan cukup mahal .;-;-;negative;-;-
harga makanan tidak terjangkau semua kalangan .;-;-;negative;-;-
makanan tradisional dengan harga yang murah dan rasa yang enak .;positive;-;positive;-;-
harga makanan cukup terjangkau .;-;-;positive;-;-
harga makanan serta fasilitas yang mahal membuat wisatawan tertentulah yang hanya bisa merasakan keindahannya .;-;-;negative;-;-
terdapat kemah modern dengan harga yang cukup mahal .;-;-;negative;-;-
harga tiket masuk pun murah dan tiket masuk bisa ditukarkan dengan aqua atau bibit tanaman .;-;-;positive;-;-
harga standar restoran sejenis .;-;-;negative;-;-
rasa makanan standar dengan harga yang cukup mahal .;negative;-;negative;-;-
untuk makanan cukup enak , dengan harga termasuk mahal .;positive;-;negative;-;-
harga makanannya lumayan mahal .;-;-;positive;-;-
pelayanannya ramah dan tempat yang disuguhkan berkonsep menarik .;-;positive;-;positive;-
pelayanan sangat lambat .;-;negative;-;-;-
niat kesana mau refreshing malah kesel sama pelayan - pelayannya .;-;negative;-;-;-
tetapi dari segi pelayanan sangat kurang .;-;negative;-;-;-
sementara pelayanan shuttle dirasa masih kurang .;-;negative;-;-;-
service yang sangat lama .;-;negative;-;-;-
restorannya cukup unik menyajikan suasana persawahan pedesaan dan bersih untuk harga relatif tidak terlalu mahal .;-;-;positive;positive;-
dengan menu nasi liwet komplit yang harga terjangkau .;-;-;positive;-;-
harganya agak sedikit mahal .;-;-;negative;-;-
harga makanan tergolong menengah ke atas .;-;-;negative;-;-
harga bersahabat .;-;-;positive;-;-
harga cukup mahal .;-;-;negative;-;-
rasa makanannya biasa saja dan harganya mahal .;negative;-;negative;-;-
kalau dari segi harga memang agak tinggi .;-;-;negative;-;-
harga makanan juga relatif mahal .;-;-;negative;-;-
rasa masakan yang disajikan cukup enak dengan harga yang terjangkau .;-;-;positive;-;-
harga makanan affordable .;-;-;positive;-;-
harga makanan termasuk murah .;-;-;positive;-;-
harga makanan sedikit mahal dengan rasa makanan yang average .;negative;-;negative;-;-
harganya mahal .;-;-;negative;-;-
harga relatif standard .;-;-;negative;-;-
pelayanan juga cukup cepat .;-;positive;-;-;-
pelayanan cukup .;-;negative;-;-;-
layanan yang ramah dan bagus;-;positive;-;-;-
saya merasa akang yang melayaninya kurang ramah dan sumringah .;-;negative;-;-;-
selain makanan yang kami pesan enak juga pelayanan sangat ramah .;-;positive;-;-;-
pelayanan yang ramah dan sajian yang nikmat memang menjadi andalan dari restoran di utara bandung ini .;-;positive;-;-;-
di tambah lagi pelayanannya yang sangat ramah .;-;positive;-;-;-
pelayanan yang ramah dan pasti makanan yang sangat enak .;positive;positive;-;-;-
suasana makan cukup nyaman , pelayanan cepat .;positive;positive;-;-;-
harganya terjangkau pelayanya ramah - ramah .;-;positive;positive;-;-
harganya reasonable .;-;-;positive;-;-
untuk harga pun cukup .;-;-;positive;-;-
harganya yang kebilang murah dibanding makan steak di tempat lain .;-;-;positive;-;-
steak yang luar biasa enak dengan harga yang bersahabat .;positive;-;positive;-;-
dengan harga yang tidak terlalu mahal , saya mendapatkan tenderloin steak yang lumayan besar dan sangat mengenyangkan .;positive;-;positive;-;-
harganya pun affordable .;-;-;positive;-;-
tempatnya nyaman harganya pun cukup terjangkau .;-;-;positive;positive;-
harga yang ditawarkan pun relatif murah dibandingkan porsinya .;-;-;positive;-;-
untuk harga masakan daging terjangkau banget .;-;-;positive;-;-
harga makanan pun sesuai dengan penampilan dan rasa yang ada pada makanan-makanan nya .;-;-;positive;-;-
untuk harga steak masih terjangkau dan kualitas dagingnya cukup empuk dan rasa yang lezat membuat ketagihan balik lagi makan disini .;positive;-;positive;-;-
harga ok malah di bawah resto steak lain .;-;-;positive;-;-
harganya sebanding dengan rasa dan porsinya .;positive;-;positive;-;-
harganya bersahabat banget .;-;-;positive;-;-
untuk harga lumayan tinggi .;-;-;negative;-;-
rasa ok lah dan harga masih cukup diterima dompet .;positive;-;negative;-;-
steak dengan cita rasa tinggi dan harganya cukup murah .;positive;-;positive;-;-
harganya juga terjangkau banget .;-;-;positive;-;-
harga pas di kantong .;-;-;positive;-;-
harganya worth it dan pelayanannya ramah banget .;-;positive;positive;-;-
soal harga terjangkau karena porsi yang ditawarkan besar .;positive;-;positive;-;-
dengan harga yang reasonable .;-;-;positive;-;-
tapi dengan harga yang lumayan murah bolehlah resto ini dicoba .;-;-;positive;-;-
harganya terjangkau .;-;-;positive;-;-
menu yang bervariasi dengan harga yang tergolong terjangkau .;positive;-;positive;-;-
cita rasa enak dan terpenting harga relatif murah , bahkan untuk anak sekolahan .;positive;-;positive;-;-
pilihan yang tepat untuk makan steak dengan harga yang sangat terjangkau .;-;-;positive;-;-
harga yang murah .;-;-;positive;-;-
makanannya enak pelayanannya cepat .;positive;positive;-;-;-
security yang tidak ramah sekali .;-;negative;-;-;-
pelayanannya cepat .;-;positive;-;-;-
pelayannya agak judes .;-;negative;-;-;-
suasana nya juga bagus dan enak makanannya serta pelayanan yang cepat .;positive;positive;-;positive;-
pelayannya baik , ramah dan tanggap .;-;positive;-;-;-
servicenya cepat .;-;positive;-;-;-
rasa makanan cukup enak dan para waiterpun sigap ketika kami meminta request .;positive;positive;-;-;-
tidak jarang terdapat waiting list yang panjang .;-;negative;-;-;-
soal harga murah , pilihan sayurannya juga banyak .;positive;-;positive;-;-
cobain deh hargany juga murah .;-;-;positive;-;-
harga murah .;-;-;positive;-;-
harga terjangkau .;-;-;positive;-;-
murah banget lagi , harga kantong mahasiswa .;-;-;positive;-;-
tempat yang nyaman juga untuk makan dan menikmati hidangan harga yang cukup murah .;-;-;positive;positive;-
harga makanan di sini murah .;-;-;positive;-;-
dengan harga yang murah .;-;-;positive;-;-
harga makanan yang sangat terjangkau .;-;-;positive;-;-
menurut saya harganya ekonomis banget .;-;-;positive;-;-
tapi harganya cukup mahal .;-;-;negative;-;-
pelayanan cepat .;-;positive;-;-;-
harganya sebanding dengan porsinya .;-;-;positive;-;-
harga masuk akal untuk ukuran bakso .;-;-;positive;-;-
harga nya ternyata wow .;-;-;positive;-;-
harga yang ditawarkan sangat tidak worthed .;-;-;negative;-;-
makanannya sendiri menurut saya memiliki cita rasa yang enak dan harganya juga terjangkau untuk masyarakat umum .;positive;-;positive;-;-
untuk harga sesuai dengan yang didapat .;-;-;positive;-;-
harga juga tidak terlalu mahal .;-;-;positive;-;-
harganya lumayaan untuk harga daerah .;-;-;negative;-;-
dari sisi harga cukup murah sekitar 40000 per orang .;-;-;positive;-;-
pelayannya ramah .;-;positive;-;-;-
pelayanannya agak lama , karena pengunjungnya banyak banget .;-;negative;-;-;-
kalo pelayanannya sangat baik dan cepat disajikan .;-;positive;-;-;-
biasanya kalau datang pas waktu makan siang pasti akan penuh dan pelayanannya akan lama .;-;negative;-;-;-
tapi pelayanannya cepat .;-;negative;-;-;-
untuk harga cukup mahal dibanding resto resto di bandung yang lagi terkenal juga .;-;-;negative;-;-
tetapi kalau untuk harga makanan agak sedikit mahal dan porsinya sedikit .;negative;-;negative;-;-
selain harganya murah rasa pun tidak kalah enak .;positive;-;positive;-;-
harganya terbilang cukup mahal .;-;-;negative;-;-
harganya lumayan mahal .;-;-;negative;-;-
